"uuid"	"uri"	"uuid"	"uri"
eee44136-4448-4ffa-9e52-678f6beab493	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"420724b4-62eb-4b82-8889-aea79c2fb3c0"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
ff7f21bc-7cee-45ba-a585-6ba5ca952add	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"589c008f-87f8-448f-b9d8-9cfe39bf9d09"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c4e49a66-d661-496f-b230-22cef22efb78	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	f813b7b4-53e4-455c-bd34-7e32d1583043	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
b93cd646-7b3e-4790-b73a-18e5bbfd5fe2	https://lgc.data.wegenenverkeer.be/ns/installatie#OTN	"584ee0e3-316a-4002-b107-899f30404bf7"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c5233b13-e6de-4737-ae74-2a3c8b8c18ca	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"293e8256-e0b0-4c8f-9895-0ff215f97295"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c5348058-22a2-4418-9088-263ea6b9387e	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"392204e4-0a76-434a-8720-f99849e2bcb0"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c53a9d3b-64e5-483f-a323-e648445fea78	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"3b55c0a1-f89a-494f-b25e-5c7d9250d78f"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
dfcd0d49-285b-463b-97eb-03a0ad6a6fff	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	a6500951-79bb-4667-bee8-67e05e7f3775	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
b9c0680b-5aa2-4b5c-a74a-b209045a362e	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"1a05cce2-04cd-440e-bb92-86949549995e"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c577c223-2a2b-4feb-8580-012542e264d2	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"3a675114-1b95-489c-ad07-bf3cde47bea0"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
ba1ffc73-a28c-46f9-92ed-3feafde05c09	https://lgc.data.wegenenverkeer.be/ns/installatie#OTN	"6fcb70d3-958e-46c0-8afd-1b8fabf53b8c"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
e006c909-d001-4360-a177-0bb53c28dcb0	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"4ecb27a1-abfd-44f1-8b15-e866c113dfd9"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
a87766bc-6dfe-4666-80d7-c27ac2b70065	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"4ecb27a1-abfd-44f1-8b15-e866c113dfd9"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
b0dc9eb0-39c5-4e14-b10c-9ad2e44d2032	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	aebb765a-50df-4890-8d9f-a42e4d27a64b	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c688373e-2cee-4cfc-9447-99ac0fcfe5f6	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"2b1c9a06-419a-402e-adf3-bc2ae607673e"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
bb7df4cd-9749-4e0c-b539-3529b67b7552	https://lgc.data.wegenenverkeer.be/ns/installatie#OTN	"1d520bde-e864-4c59-9203-de6edc41be30"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
bbb15da4-8335-47d5-affb-4a772453da2f	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"138b849b-3323-4fd3-ba6e-648084327649"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
bbc11503-ca21-41c4-bd58-a8b4ecf03be1	https://lgc.data.wegenenverkeer.be/ns/installatie#OTN	"1b6b8839-606e-4584-b23b-567c69207189"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
bc0bbcfb-0b7a-4616-88d9-2ea827a7c6fb	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"265d7f29-41d0-4fd4-908e-4fbc7110953c"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
d37d544c-41c7-49b7-8f07-a731ad764ff7	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	e5dafdb0-e44f-4b7a-b067-c2a7ed745c2d	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
b45d3bf1-1877-4b85-8bcc-39a29a2017fd	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"1d520bde-e864-4c59-9203-de6edc41be30"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
f03f42fe-a5eb-47ff-96a0-21bc6739c124	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"6d6f5d27-c6de-4ed0-9f7f-b363353a0029"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
d40410a8-418f-4c5a-9790-9e20eb4c0f40	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	d263b6e0-d51d-4908-a355-f9baaa4d9519	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c888559e-97f8-4685-9c1a-433e9dec50f3	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"0b6d0dcf-e6de-4ade-8c32-94d13d03e7c8"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c899958b-ccc2-46c4-8e21-454db67f6a48	https://lgc.data.wegenenverkeer.be/ns/installatie#OTN	"5b2b51b1-f88c-4056-8051-beb7da2b2413"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
